Bin #,MinTemp,MaxTemp,Mean Temperature,Frequency,OrbitalRadius,StarMass,PlanetRadius,StarRadius,TransitTime,TransitDepth,OrbitalPeriod
40.0,6583.0,6683.0,6628.131801946915,14414.0,233795308461.0,2.7372040505843e+30,9864569.0,858450349.9999998,61439.34396124699,0.00013204618726540688,254176238.4928275
41.0,6683.0,6783.0,6733.450191759269,10272.0,228404444814.0,2.8123993450043006e+30,6082045.0,876845350.0,61193.29847847798,4.811198238533978e-05,239324720.08608308
42.0,6783.0,6883.0,6828.320190023753,6404.0,321879714153.0,2.8881650134243e+30,4739340.0,895240350.0,73188.44654480237,2.802569784802327e-05,469021945.70510614
43.0,6883.0,6983.0,6927.65275142315,4311.0,344693890260.0,2.9645010558443e+30,9158394.0,913635350.0,76292.34456949375,0.00010048306110755975,530894612.098049
44.0,6983.0,7083.0,7034.351891725623,3290.0,317231979352.0,3.0414074722643006e+30,7291197.0,932030350.0,73713.71675890623,6.119804600851471e-05,443949497.8104951
45.0,7083.0,7183.0,7130.134865900383,2628.0,355854457966.0,3.1188842626843e+30,5874870.0,950425349.9999998,78617.94109750824,3.8208544925651e-05,551648121.3711008
46.0,7183.0,7283.0,7235.608752879237,3053.0,348187256010.0,3.196931427104301e+30,10712343.0,968820350.0,78297.89862542793,0.00012225944917999804,521646182.9802981
47.0,7283.0,7383.0,7329.9492,2513.0,391158625192.0,3.2755489655243e+30,7922844.0,987215350.0,83543.63849000042,6.440779192426626e-05,650400288.8844016
48.0,7383.0,7483.0,7429.007674597084,1333.0,215728505264.0,3.354736877944301e+30,9373948.0,1005610350.0,62448.40479015307,8.689316393060323e-05,195480206.30093554
49.0,7483.0,7583.0,7529.108695652174,1635.0,442619039615.0,3.4344951643643e+30,4032540.0,1024005350.0,90022.87850366817,1.550789731428798e-05,813290463.4059906
50.0,7583.0,7683.0,7635.71676300578,1216.0,489229302502.0,3.5148238247843006e+30,10381505.0,1042400349.9999998,95237.08126873641,9.918626529358835e-05,982177753.9254931
51.0,7683.0,7783.0,7725.3399846508055,1326.0,362940152001.0,3.5957228592043e+30,7095830.0,1060795350.0,82532.13671209394,4.474486373273181e-05,534433753.6703098
52.0,7783.0,7883.0,7839.882468168462,1060.0,373522337482.0,3.6771922676243e+30,3501553.0,1079190350.0,84229.69968106579,1.0527501258654336e-05,559747212.8035537
53.0,7883.0,7983.0,7926.167955801105,929.0,385946289547.0,3.7592320500443006e+30,9368180.0,1097585350.0,86123.01952271363,7.285072027729904e-05,591045784.3866521
54.0,7983.0,8083.0,8034.2069716775595,959.0,408414466594.0,3.841842206464301e+30,7701020.0,1115980350.0,89105.48187805866,4.761934387830031e-05,654710677.3587564
55.0,8083.0,8184.0,8132.6996336996335,878.0,597394646698.0,3.9254400726010754e+30,4770569.0,1134467325.0,108379.10443082523,1.768301762544864e-05,1385783635.975961
56.0,8184.0,8284.0,8236.975290697674,716.0,420011463890.0,4.0096140307372004e+30,7863531.0,1152954300.0,91381.53726800642,4.651692732634096e-05,677778760.8267332
57.0,8284.0,8384.0,8334.16440677966,596.0,314655844148.0,4.0939410128972e+30,9798604.0,1171349300.0,79524.43858066827,6.997704003273505e-05,376459070.58337426
58.0,8384.0,8484.0,8430.49365079365,635.0,409952542639.0,4.1788383690572004e+30,5514565.0,1189744300.0,91255.64033627076,2.1484005486780802e-05,632493888.2754735
59.0,8484.0,8584.0,8538.154545454545,569.0,335263346990.0,4.2643060992172e+30,11126516.0,1208139300.0,82956.98182359627,8.481728562941455e-05,418759736.92235935
60.0,8584.0,8685.0,8632.748148148148,421.0,350329233692.0,4.350775826962675e+30,7594471.0,1226626275.0,85238.18195601337,3.833279879457506e-05,452674839.38627905
61.0,8685.0,8785.0,8740.774193548386,436.0,649506126800.0,4.4378216467075e+30,6188010.0,1245113250.0,116649.43440895005,2.4699280612525412e-05,1540630649.6323888
62.0,8785.0,8885.0,8839.419672131147,307.0,635669278436.0,4.5250062026075e+30,10453570.0,1263508250.0,115971.47547226488,6.844994437622595e-05,1461402370.2789612
63.0,8885.0,8985.0,8939.086161879895,385.0,836108687594.0,4.612761132507501e+30,7868547.0,1281903250.0,133651.30771381,3.767719729546434e-05,2504159230.0359097
64.0,8985.0,9085.0,9034.810996563574,293.0,700518763335.0,4.7010864364075004e+30,9393545.0,1300298250.0,122919.51123921332,5.218829207906739e-05,1741234958.4928677
65.0,9085.0,9185.0,9139.377880184331,442.0,762616544645.0,4.7899821143075e+30,4154349.0,1318693250.0,128853.73967121322,9.924722895964865e-06,2044383895.9511282
66.0,9185.0,9285.0,9226.403587443947,232.0,900293845731.0,4.8794481662074996e+30,6848919.0,1337088249.9999998,140648.1218903079,2.6237588425949144e-05,2822930328.950409
67.0,9285.0,9385.0,9334.050583657587,260.0,481333372790.0,4.969484592107499e+30,9746462.0,1355483249.9999998,103306.71380865312,5.170180165100559e-05,799563987.9348801
68.0,9385.0,9490.0,9430.056818181818,273.0,741544604189.0,5.062363869921876e+30,5373942.0,1374338125.0,128810.90561028887,1.5289692853572792e-05,1880246680.7921033
69.0,9490.0,9591.0,9544.859649122807,242.0,931695165124.0,5.156299858447676e+30,10036864.0,1393284975.0,145035.6850886711,5.189388337041005e-05,2941003574.4796777
70.0,9591.0,9691.0,9639.273381294965,146.0,863970212862.0,5.248539104574701e+30,9139809.0,1411771950.0,140269.0299693164,4.1912652114788514e-05,2506659082.3896666
71.0,9691.0,9795.0,9739.3125,187.0,1106843018435.0,5.3427441096163e+30,7610068.0,1430534849.9999998,159450.670192114,2.8299593037475292e-05,4077620691.6278877
